Sito,HTTP Requests,HTTP/2 Requests,HTTP/3 Requests
104.18.164.83,0,2,0
104.17.25.14,0,4,0
edge-star-mini-shv-01-fco2.facebook.com,0,6,0
941456849.mil.cdn77.com,0,4,0
172.64.147.188,0,4,0
104.18.80.204,0,4,0
104.16.201.35,0,6,0
ec2-18-206-51-254.compute-1.amazonaws.com,0,203,0
a23-2-53-223.deploy.static.akamaitechnologies.com,0,1331,0
137.102.96.34.bc.googleusercontent.com,0,40,15
server-108-139-210-44.fco50.r.cloudfront.net,0,229,0
ec2-3-228-33-101.compute-1.amazonaws.com,0,61,0
server-52-222-130-108.fco50.r.cloudfront.net,0,37,0
ec2-52-214-238-53.eu-west-1.compute.amazonaws.com,0,32,0
9.188.244.35.bc.googleusercontent.com,0,199,12
a2-16-135-209.deploy.static.akamaitechnologies.com,0,85,0
146.75.54.132,0,319,0
ec2-3-214-94-232.compute-1.amazonaws.com,0,29,0
server-13-226-244-30.fco50.r.cloudfront.net,0,11,0
server-52-222-130-38.fco50.r.cloudfront.net,0,59,0
server-13-35-198-23.fco50.r.cloudfront.net,0,72,0
server-52-222-130-18.fco50.r.cloudfront.net,0,138,0
server-18-65-82-99.fco50.r.cloudfront.net,0,16,0
35.128.197.104.bc.googleusercontent.com,0,20,0
ec2-52-70-78-65.compute-1.amazonaws.com,0,15,0
x1.i.lencr.org,1,0,0
ec2-44-227-70-92.us-west-2.compute.amazonaws.com,0,26,0
mil04s50-in-f6.1e100.net,0,63,18
server-108-139-210-117.fco50.r.cloudfront.net,0,85,0
ec2-54-154-160-115.eu-west-1.compute.amazonaws.com,0,227,0
r11.i.lencr.org,1,0,0
clients2.google.com,1,0,0
76.76.21.61,0,189,0
ec2-34-241-136-109.eu-west-1.compute.amazonaws.com,0,140,0
162.159.138.60,0,39,0
server-13-226-244-129.fco50.r.cloudfront.net,0,119,0
204.202.120.34.bc.googleusercontent.com,0,72,21
146.75.62.109,0,117,0
146.75.52.217,0,163,0
server2.difadi.com,0,661,0
az1-ss103.a2hosting.com,0,95,0
67.15.120.34.bc.googleusercontent.com,0,18,0
146.75.60.157,0,72,0
ec2-18-119-154-66.us-east-2.compute.amazonaws.com,0,77,0
104.244.42.8,0,15,0
lodwar.jijini.com,0,1412,0
s6.hostssdserver.com,0,328,0
209.182.199.238,0,19,0
146.75.62.83,0,92,0
151.101.242.40,0,64,0
edgedl.me.gvt1.com,52,0,0
71.148.62.50.host.secureserver.net,0,339,0
s3-us-west-2.amazonaws.com,0,49,0
ec2-13-36-141-12.eu-west-3.compute.amazonaws.com,0,19,0
ec2-35-165-18-164.us-west-2.compute.amazonaws.com,0,30,0
cdn.shopify.com,0,4,0
proxy1.gttwl.net,0,104,6
95.114.225.35.bc.googleusercontent.com,0,594,0
132.105.154.104.bc.googleusercontent.com,0,138,0
ec2-54-206-208-67.ap-southeast-2.compute.amazonaws.com,0,229,0
5.2.85.26,0,263,0
cloudproxy10056.sucuri.net,0,135,0
136.143.190.123,0,10,0
136.143.183.67,0,27,0
server-52-222-130-93.fco50.r.cloudfront.net,0,35,0
136.143.190.172,0,2,0
136.143.182.97,0,2,0
1264842.cloudwaysapps.com,0,139,0
s823.lon1.mysecurecloudhost.com,0,483,10
162-214-71-212.unifiedlayer.com,0,333,0
241.105.215.35.bc.googleusercontent.com,0,103,0
104.18.73.113,0,30,0
ppp-106-209.21-151.wind.it,0,91,0
104.18.72.113,0,14,0
96.46.243.24,0,35,0
192.229.221.25,0,22,0
162.159.128.7,0,24,0
lhr48s23-in-f2.1e100.net,0,2,0
